epoch,mark,Measured Torque (R),Desired Torque (R),Measured Torque (L),Desired Torque (L),Gait/100 (R),Toe FSR (R),Gait/100 (L),Toe FSR (L),Heel FSBattery Level (Volts),???
1784017722.194786,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,20.450000,0.000000,0.000000
1784017722.196852,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,20.230000,0.000000,0.000000
1784017722.232884,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,20.450000,0.000000,0.000000
1784017722.234002,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,20.450000,0.000000,0.000000
1784017722.255688,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,20.900000,0.000000,0.000000
1784017722.278875,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,20.680000,0.000000,0.000000
1784017722.279422,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,19.370000,0.000000,0.000000
1784017722.307097,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,19.590000,0.000000,0.250000
1784017722.308501,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,18.950000,0.000000,0.000000
1784017722.317260,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,19.590000,0.000000,0.000000
1784017722.339901,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,19.790000,0.000000,0.000000
1784017722.359623,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,19.790000,0.000000,0.000000
1784017722.381313,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,20.020000,0.000000,0.000000
1784017722.389299,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,19.790000,0.000000,0.000000
1784017722.390928,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,20.230000,0.030000,0.000000
1784017722.436434,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,19.790000,0.000000,0.000000
1784017722.436988,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,20.450000,0.000000,0.000000
1784017722.457702,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,19.590000,0.000000,0.000000
1784017722.467878,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,19.590000,0.000000,0.000000
1784017722.489470,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,20.020000,0.000000,0.000000
1784017722.490448,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,20.230000,0.000000,0.000000
1784017722.555316,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,19.370000,0.000000,0.000000
1784017722.562515,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,18.150000,0.000000,0.000000
1784017722.573552,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,17.950000,0.000000,0.000000
1784017722.576874,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,17.950000,0.000000,0.000000
1784017722.577791,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,17.770000,0.000000,0.000000
1784017722.578794,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,15.090000,0.000000,0.000000
1784017722.595809,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,10.930000,0.000000,0.000000
1784017722.616706,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,9.310000,0.000000,0.000000
1784017722.638131,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,4.780000,0.000000,0.000000
1784017722.644769,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,2.450000,0.000000,0.000000
1784017722.673193,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,-1.350000,0.000000,0.000000
1784017722.683381,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,-2.600000,0.000000,0.000000
1784017722.685137,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,-3.440000,0.000000,0.000000
1784017722.712721,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,-3.950000,0.000000,0.000000
